Date,Open,High,Low,Close,Adj Close
2023-01-03,3895.0,3906.75,3814.5,3846.0,3846.0
2023-01-04,3842.75,3896.25,3836.5,3874.5,3874.5
2023-01-05,3871.0,3885.5,3822.5,3829.0,3829.0
2023-01-06,3833.0,3928.75,3819.0,3915.5,3915.5
2023-01-09,3918.5,3973.25,3909.75,3913.75,3913.75
2023-01-10,3914.5,3943.75,3891.5,3940.75,3940.75
2023-01-11,3941.0,3992.5,3934.5,3990.0,3990.0
2023-01-12,3991.75,4021.5,3954.0,4003.5,4003.5
2023-01-13,4003.0,4024.25,3961.75,4018.25,4018.25
2023-01-17,4020.0,4035.25,3996.75,4009.5,4009.5
2023-01-18,4008.5,4033.5,3943.75,3945.75,3945.75
2023-01-19,3945.25,3948.75,3901.75,3915.5,3915.5
2023-01-20,3925.0,3990.5,3911.75,3988.5,3988.5
2023-01-23,3987.0,4056.75,3980.25,4036.5,4036.5
2023-01-24,4036.5,4047.5,4005.25,4032.75,4032.75
2023-01-25,4039.0,4040.5,3963.25,4032.0,4032.0
2023-01-26,4031.0,4077.0,4027.25,4075.5,4075.5
2023-01-27,4065.0,4109.25,4057.25,4084.25,4084.25
2023-01-30,4077.0,4086.0,4029.5,4032.5,4032.5
2023-01-31,4039.25,4091.25,4007.5,4090.0,4090.0
2023-02-01,4085.75,4163.25,4048.5,4132.25,4132.25
2023-02-02,4145.5,4208.5,4136.75,4191.5,4191.5
2023-02-03,4176.0,4194.0,4132.5,4147.75,4147.75
2023-02-06,4134.25,4143.0,4104.0,4123.5,4123.5
2023-02-07,4123.5,4188.25,4098.25,4175.75,4175.75
2023-02-08,4167.25,4179.25,4121.25,4130.5,4130.5
2023-02-09,4132.25,4170.25,4078.25,4091.75,4091.75
2023-02-10,4098.0,4104.25,4060.75,4099.75,4099.75
2023-02-13,4105.0,4150.75,4078.75,4147.25,4147.25
2023-02-14,4149.75,4186.5,4103.75,4145.5,4145.5
2023-02-15,4141.25,4161.75,4113.0,4158.25,4158.25
2023-02-16,4159.0,4168.5,4095.0,4099.75,4099.75
2023-02-17,4095.5,4096.0,4055.75,4087.5,4087.5
2023-02-21,4083.0,4089.25,4002.0,4005.75,4005.75
2023-02-22,4007.5,4025.0,3983.75,3999.0,3999.0
2023-02-23,4010.0,4034.25,3974.25,4018.75,4018.75
2023-02-24,4015.25,4023.25,3947.5,3975.75,3975.75
2023-02-27,3976.5,4024.75,3973.0,3988.0,3988.0
2023-02-28,3991.5,4003.75,3965.0,3975.5,3975.5
2023-03-01,3968.5,3991.0,3943.0,3956.5,3956.5
2023-03-02,3959.75,3995.25,3925.0,3984.75,3984.75
2023-03-03,3983.0,4053.0,3974.0,4049.75,4049.75
2023-03-06,4049.25,4082.5,4041.75,4052.5,4052.5
2023-03-07,4053.75,4064.5,3982.5,3989.75,3989.75
2023-03-08,3990.0,4003.25,3971.5,3995.0,3995.0
2023-03-09,3997.0,4019.75,3909.5,3920.0,3920.0
2023-03-10,3919.0,3941.75,3846.25,3862.75,3862.75
2023-03-13,3887.75,3938.75,3808.75,3856.75,3856.75
2023-03-14,3865.75,3938.0,3855.25,3920.5,3920.5
2023-03-15,3920.5,3931.0,3834.0,3892.75,3892.75
2023-03-16,3892.75,3966.5,3863.25,3960.5,3960.5
2023-03-17,3962.25,3974.0,3923.0,3957.050048828125,3957.050048828125
2023-03-20,3963.75,3989.5,3897.25,3983.0,3983.0
2023-03-21,3986.5,4043.25,3981.75,4035.75,4035.75
2023-03-22,4038.75,4073.75,3966.25,3970.5,3970.5
2023-03-23,3972.75,4039.5,3948.5,3978.0,3978.0
2023-03-24,3988.75,4010.75,3937.0,4001.25,4001.25
2023-03-27,4008.0,4034.25,3997.5,4007.25,4007.25
2023-03-28,4013.5,4023.75,3980.75,4001.5,4001.5
2023-03-29,4006.5,4061.25,4006.0,4057.5,4057.5
2023-03-30,4058.0,4087.75,4052.5,4080.0,4080.0
2023-03-31,4081.0,4142.5,4078.0,4137.75,4137.75
2023-04-03,4127.0,4157.75,4122.75,4153.75,4153.75
2023-04-04,4152.5,4171.75,4115.25,4129.0,4129.0
2023-04-05,4134.0,4135.5,4099.0,4117.25,4117.25
2023-04-06,4113.75,4135.25,4096.5,4132.0,4132.0
2023-04-10,4139.0,4143.0,4098.75,4136.25,4136.25
2023-04-11,4138.5,4151.75,4128.75,4136.5,4136.5
