Date,Open,High,Low,Close,Adj Close
2020-01-05,3237.0,3261.75,3234.25,3259.0,3259.0
2020-01-12,3220.25,3249.5,3208.75,3243.5,3243.5
2020-01-19,3265.75,3291.0,3265.5,3289.75,3289.75
2020-01-26,3325.0,3329.75,3307.25,3319.5,3319.5
2020-02-02,3269.75,3269.75,3233.0,3239.5,3239.5
2020-02-09,3222.75,3267.25,3222.0,3245.5,3245.5
2020-02-16,3322.25,3353.5,3303.5,3353.0,3353.0
2020-02-23,3382.25,3392.5,3355.25,3369.25,3369.25
2020-03-01,3309.0,3312.0,3213.75,3226.25,3226.25
2020-03-08,2900.0,3093.25,2889.25,3065.0,3065.0
2020-03-15,2916.0,2916.0,2715.0,2747.75,2747.75
2020-03-22,2673.75,2675.0,2360.25,2416.25,2416.25
2020-03-29,2220.25,2386.0,2174.0,2220.5,2220.5
2020-04-05,2459.0,2621.75,2445.0,2611.25,2611.25
2020-04-12,2485.0,2668.5,2484.75,2644.5,2644.5
2020-04-19,2811.0,2819.5,2711.0,2759.25,2759.25
2020-04-26,2861.5,2875.5,2804.25,2806.5,2806.5
2020-05-03,2829.0,2881.25,2812.75,2869.0,2869.0
2020-05-10,2789.0,2835.75,2771.0,2825.25,2825.25
2020-05-17,2920.75,2947.0,2889.75,2922.75,2922.75
2020-05-24,2859.75,2964.75,2850.0,2948.0,2948.0
2020-05-31,2948.5,3019.75,2947.5,2994.5,2994.5
2020-06-07,3029.75,3059.0,3008.0,3054.0,3054.0
2020-06-14,3192.5,3231.25,3183.25,3227.5,3227.5
2020-06-21,2992.75,3079.25,2935.0,3073.0,3073.0
2020-06-28,3040.25,3114.25,3027.25,3110.75,3110.75
2020-07-05,2986.25,3051.25,2983.5,3047.75,3047.75
2020-07-12,3125.25,3174.5,3105.75,3172.0,3172.0
2020-07-19,3183.5,3226.25,3140.5,3148.25,3148.25
2020-07-26,3214.5,3250.5,3190.25,3245.25,3245.25
2020-08-02,3210.75,3235.0,3192.0,3232.25,3232.25
2020-08-09,3272.0,3295.5,3254.75,3288.5,3288.5
2020-08-16,3347.0,3357.25,3329.0,3352.75,3352.75
2020-08-23,3366.0,3382.75,3364.75,3379.75,3379.75
2020-08-30,3398.75,3429.5,3393.5,3427.5,3427.5
2020-09-06,3508.5,3524.5,3490.0,3499.0,3499.0
2020-09-13,3420.5,3447.0,3327.5,3335.5,3335.5
2020-09-20,3350.0,3402.75,3345.5,3382.5,3382.5
2020-09-27,3314.5,3326.25,3217.75,3275.0,3275.0
2020-10-04,3291.0,3351.25,3287.5,3346.0,3346.0
2020-10-11,3360.0,3400.0,3346.5,3393.0,3393.0
2020-10-18,3467.5,3541.0,3464.25,3532.75,3532.75
2020-10-25,3471.0,3496.5,3410.75,3422.75,3422.75
2020-11-01,3445.75,3446.25,3356.0,3393.5,3393.5
2020-11-08,3260.0,3323.5,3243.25,3300.5,3300.5
2020-11-15,3522.5,3668.0,3515.75,3544.0,3544.0
2020-11-22,3587.0,3637.0,3586.5,3623.0,3623.0
2020-11-29,3546.5,3588.0,3545.5,3576.0,3576.0
2020-12-06,3643.75,3652.0,3592.25,3623.25,3623.25
2020-12-13,3694.75,3705.0,3672.25,3690.75,3690.75
2020-12-20,3677.75,3698.0,3642.75,3646.5,3646.5
2020-12-27,3718.25,3724.0,3596.0,3685.75,3685.75
2021-01-03,3682.0,3732.25,3676.0,3727.5,3727.5
