Date,Open,High,Low,Close,Adj Close
2023-01-03,11122.5,11182.0,10844.75,10945.5,10945.5
2023-01-04,10941.25,11068.5,10863.5,10999.25,10999.25
2023-01-05,10988.5,11046.75,10805.0,10820.25,10820.25
2023-01-06,10838.75,11165.75,10751.0,11113.5,11113.5
2023-01-09,11126.5,11385.5,11120.25,11185.5,11185.5
2023-01-10,11184.75,11288.75,11094.0,11282.0,11282.0
2023-01-11,11282.5,11479.5,11239.75,11476.5,11476.5
2023-01-12,11474.5,11579.75,11291.0,11534.25,11534.25
2023-01-13,11528.5,11619.5,11389.0,11608.0,11608.0
2023-01-17,11613.5,11685.0,11510.25,11624.5,11624.5
2023-01-18,11619.75,11759.5,11468.0,11475.75,11475.75
2023-01-19,11470.5,11487.0,11308.5,11356.5,11356.5
2023-01-20,11401.0,11686.75,11365.25,11677.0,11677.0
2023-01-23,11676.75,11983.0,11650.5,11934.0,11934.0
2023-01-24,11933.0,12010.5,11835.75,11909.5,11909.5
2023-01-25,11970.5,11976.5,11604.5,11873.25,11873.25
2023-01-26,11874.75,12113.0,11867.25,12106.75,12106.75
2023-01-27,12049.0,12308.5,12016.0,12222.25,12222.25
2023-01-30,12212.5,12252.0,11960.0,11968.0,11968.0
2023-01-31,11984.0,12156.0,11871.0,12152.0,12152.0
2023-02-01,12116.0,12524.5,12055.25,12414.25,12414.25
2023-02-02,12520.0,12949.75,12501.75,12846.75,12846.75
2023-02-03,12748.25,12878.0,12551.25,12624.0,12624.0
2023-02-06,12572.0,12608.5,12455.75,12515.5,12515.5
2023-02-07,12513.0,12818.5,12459.25,12776.75,12776.75
2023-02-08,12747.0,12808.5,12512.75,12545.25,12545.25
2023-02-09,12555.0,12728.5,12366.5,12425.5,12425.5
2023-02-10,12448.75,12451.5,12243.25,12346.25,12346.25
2023-02-13,12357.5,12567.0,12265.25,12540.5,12540.5
2023-02-14,12547.25,12687.0,12390.5,12631.0,12631.0
2023-02-15,12620.75,12756.5,12524.25,12730.0,12730.0
2023-02-16,12740.0,12792.75,12455.25,12482.5,12482.5
2023-02-17,12462.5,12466.25,12265.75,12390.0,12390.0
2023-02-21,12380.0,12417.75,12090.25,12096.75,12096.75
2023-02-22,12108.0,12190.5,12034.0,12097.5,12097.5
2023-02-23,12176.25,12261.0,12028.5,12207.5,12207.5
2023-02-24,12190.0,12214.5,11923.0,11997.0,11997.0
2023-02-27,12003.0,12189.5,11990.0,12083.25,12083.25
2023-02-28,12093.5,12172.75,12025.75,12072.25,12072.25
2023-03-01,12041.25,12141.75,11924.75,11961.75,11961.75
2023-03-02,11967.0,12096.25,11832.5,12062.0,12062.0
2023-03-03,12049.0,12329.0,12012.0,12311.25,12311.25
2023-03-06,12306.25,12486.25,12276.25,12323.5,12323.5
2023-03-07,12320.25,12381.25,12142.25,12169.0,12169.0
2023-03-08,12170.0,12254.5,12108.25,12228.25,12228.25
2023-03-09,12231.0,12353.5,11977.5,12007.25,12007.25
2023-03-10,12005.0,12109.0,11795.0,11840.25,11840.25
2023-03-13,11894.75,12095.75,11674.25,11931.75,11931.75
2023-03-14,11960.0,12223.0,11921.75,12207.0,12207.0
2023-03-15,12200.75,12280.0,11972.0,12247.75,12247.75
2023-03-16,12264.5,12600.5,12189.25,12583.0,12583.0
2023-03-17,12575.75,12636.5,12531.75,12594.650390625,12594.650390625
2023-03-20,12690.0,12750.0,12525.25,12688.5,12688.5
2023-03-21,12699.75,12898.25,12676.5,12867.25,12867.25
2023-03-22,12873.25,13082.0,12678.0,12707.0,12707.0
2023-03-23,12695.0,13031.0,12694.25,12854.0,12854.0
2023-03-24,12871.5,12924.75,12728.0,12890.25,12890.25
2023-03-27,12916.0,12984.5,12765.5,12788.5,12788.5
2023-03-28,12810.5,12833.5,12634.25,12732.5,12732.5
2023-03-29,12745.5,12994.0,12742.0,12965.0,12965.0
2023-03-30,12962.5,13111.75,12931.5,13082.0,13082.0
2023-03-31,13084.25,13311.5,13057.5,13301.75,13301.75
2023-04-03,13262.0,13278.75,13154.0,13270.0,13270.0
2023-04-04,13259.0,13348.75,13168.25,13219.0,13219.0
2023-04-05,13230.0,13247.25,13006.0,13079.75,13079.75
2023-04-06,13072.75,13191.0,12953.25,13170.75,13170.75
2023-04-10,13179.75,13203.25,12967.5,13158.0,13158.0
2023-04-11,13163.25,13208.75,13053.5,13074.75,13074.75
2023-04-12,13073.75,13241.75,12937.75,12952.25,12952.25
2023-04-13,12957.0,13228.0,12925.5,13209.75,13209.75
2023-04-14,13183.0,13255.0,13058.0,13181.25,13181.25
2023-04-17,13212.5,13218.0,13076.75,13186.5,13186.5
2023-04-18,13184.0,13298.75,13138.0,13193.0,13193.0
2023-04-19,13170.5,13226.75,13065.0,13183.0,13183.0
2023-04-20,13162.0,13200.0,13021.75,13074.25,13074.25
2023-04-21,13089.0,13122.0,12982.5,13090.5,13090.5
2023-04-24,13070.0,13134.0,12967.25,13056.5,13056.5
2023-04-25,13050.25,13059.5,12800.0,12809.5,12809.5
2023-04-26,12940.0,13012.25,12863.75,12887.75,12887.75
2023-04-27,12965.0,13333.0,12936.0,13231.25,13231.25
2023-04-28,13215.0,13336.0,13169.0,13320.25,13320.25
2023-05-01,13317.0,13370.25,13258.75,13306.75,13306.75
2023-05-02,13290.0,13334.75,13110.25,13184.5,13184.5
2023-05-03,13162.0,13314.0,13080.0,13100.75,13100.75
2023-05-04,13064.0,13173.0,13001.75,13043.75,13043.75
2023-05-05,13060.0,13359.0,13055.75,13317.75,13317.75
2023-05-08,13316.0,13368.0,13254.5,13352.25,13352.25
2023-05-09,13338.5,13347.0,13250.5,13264.75,13264.75
2023-05-10,13258.75,13446.75,13202.75,13409.5,13409.5
2023-05-11,13410.0,13470.25,13361.5,13446.5,13446.5
2023-05-12,13446.0,13494.25,13310.5,13396.25,13396.25
2023-05-15,13378.75,13480.0,13350.0,13468.0,13468.0
2023-05-16,13461.0,13554.5,13426.25,13483.25,13483.25
2023-05-17,13498.5,13669.0,13474.25,13643.5,13643.5
2023-05-18,13640.5,13913.0,13628.25,13894.0,13894.0
2023-05-19,13908.5,13960.25,13814.25,13858.0,13858.0
2023-05-22,13805.5,13946.75,13794.25,13902.5,13902.5
2023-05-23,13913.25,13979.25,13710.0,13728.75,13728.75
2023-05-24,13729.0,13845.75,13566.5,13650.25,13650.25
2023-05-25,13877.0,14031.25,13803.0,13976.5,13976.5
2023-05-26,13977.75,14369.0,13924.5,14332.5,14332.5
2023-05-30,14437.5,14570.0,14336.75,14396.75,14396.75
2023-05-31,14397.25,14429.0,14251.25,14300.5,14300.5
2023-06-01,14289.5,14528.25,14248.25,14472.25,14472.25
2023-06-02,14494.0,14627.75,14468.25,14575.25,14575.25
2023-06-05,14577.0,14694.75,14512.75,14588.75,14588.75
2023-06-06,14582.0,14623.75,14504.5,14586.5,14586.5
2023-06-07,14594.5,14675.0,14305.5,14331.5,14331.5
2023-06-08,14316.0,14526.75,14256.75,14503.0,14503.0
2023-06-09,14517.0,14687.5,14460.25,14556.25,14556.25
2023-06-12,14560.25,14827.0,14554.25,14800.5,14800.5
2023-06-13,14824.0,14967.75,14779.5,14914.25,14914.25
2023-06-14,14925.0,15061.5,14793.0,15012.75,15012.75
2023-06-15,15038.0,15252.0,14878.0,15188.0,15188.0
