Date,Open,High,Low,Close,Adj Close
2023-01-01,11122.5,11182.0,10844.75,10945.5,10945.5
2023-02-01,12116.0,12524.5,12055.25,12414.25,12414.25
2023-03-01,12041.25,12141.75,11924.75,11961.75,11961.75
2023-04-01,13262.0,13278.75,13154.0,13270.0,13270.0
2023-05-01,13317.0,13370.25,13258.75,13306.75,13306.75
2023-06-01,14289.5,14528.25,14248.25,14472.25,14472.25
2023-07-01,15331.0,15392.0,15308.0,15364.75,15364.75
2023-08-01,15869.25,15889.25,15728.25,15817.25,15817.25
2023-09-01,15534.0,15661.25,15454.0,15516.25,15516.25
2023-10-01,14965.0,15046.0,14826.0,14984.75,14984.75
2023-11-01,14460.0,14762.0,14410.75,14744.5,14744.5
2023-12-01,15955.0,16050.0,15864.0,16023.75,16023.75
